600 16TH ST	UCSF Mission Bay / Genentech Hall	0.018951358
1576 03RD ST	UCSF	0.025268478
1630 03RD ST	UCSF Mission Bay / 3rd St Garage	0.025268478
1625 OWENS ST	UCSF Mission Bay / Owens St Garage	0.037902716
1675 OWENS ST	UCSF Mission Bay / William J. Rutter Community Center	0.037902716
550 GENE FRIEND WAY	UCSF Mission Bay / South Street Retail & Bench Area (West End)	0.069488313
550 GENE FRIEND WAY	UCSF Mission Bay / South Street Retail & Bench Area (East End)	0.069488313
1450 03RD ST	UCSF Mission Bay / Helen Diller Cancer Center Courtyard	0.10107391
1490 03RD ST	UCSF	0.10107391
1650 03RD ST	Laundry Locker Cleaners	0.145293746
None	Douglass Playground	0.164245104
3151 ORTEGA ST	A.P. Giannini MS	0.176879343
5 LENOX WAY	West Portal Elementary School / GLO (Growth and Learning Opportunities)	0.189513582
2833 VICENTE ST	Urban Farmer Store, The	0.277953253
None	UK	0.290587492
1500 OWENS ST	UCSF Mission Bay / Orthopedic Institute	0.372710044
51 HAVELOCK ST	Balboa Park Swimming Pool	0.372710044
300 CHANNEL ST	UK	0.505369551
600 VICENTE ST	St. Cecila's School	0.530638029
433 BERRY ST	UK	0.549589387
3901 NORIEGA ST	The Pizza Place	0.549589387
4900 CALIFORNIA ST	San Francisco Free Clinic	0.612760581
335 BERRY ST	UK	0.62539482
255 BERRY ST	UK	0.694883133
741 DIAMOND ST	Academy of Art University	0.701200253
None	Great Hwy & Judah St	0.73278585
4001 JUDAH ST	Feel Real Coffee House	0.73278585
4001 JUDAH ST	Outerlands Cafe	0.73278585
354 LAGUNA HONDA BLVD	Muni Laguna Honda Station	0.745420088
851 38TH AVE	Cabrillo Playground	0.751737208
1290 05TH AVE	St. John of God Church.	0.808591282
2520 JUDAH ST	American Gymnastics & Raise the Bar Fitness	0.814908402
3930 JUDAH ST	Other Avenues Food Co-op	0.821225521
5800 03RD ST	5800 Third Street	0.821225521
1315 16TH AVE	Urban Fauna Studio (CLOSED)	0.827542641
428 BERRY ST	UK	0.840176879
420 BERRY ST	UK	0.840176879
936 INNES AVE	Surfside Liquors / RFJ Inc (Meiswinke Company)	0.909665193
4541 IRVING ST	3 Fish Studios	0.922299431
3639 TARAVAL ST	Riptide Bar	0.947567909
25 POINT LOBOS AVE	Walgreens	0.960202148
1850 CESAR CHAVEZ ST	Oscar's Burgers & Deli	0.966519267
1201 NOE ST	Chinese Medicine Works	0.972836387
None	Ocean Beach (O'Shaughnessy seawall planting beds)	0.979153506
451 BERRY ST	Mission Bay Parks Maintenance Facility	0.991787745
4245 LAWTON ST	Sunset Co-op Nursery School	0.998104864
4033 JUDAH ST	Trouble Coffee Company	0.998104864
325 BERRY ST	Park Terrace	1.004421984
500 CORBETT AVE	Rooftop ES	1.023373342
960 04TH ST	Mission Bay Public Library	1.073910297
50 CLEMENT ST	Eats	1.105495894
2250 HAYES ST	St Mary's Hospital	1.14339861
3626 BALBOA ST	rams	1.162349968
600 ARGUELLO BLVD	Rossi Pool	1.206569804
750 16TH AVE	Argonne Community Garden	1.276058117
