1355 MARKET ST,multiple (Twitter),MARKET,100,200,4.588625728
1630 03RD ST,UCSF Mission Bay / 3rd St Garage,03RD ST,82,164,4.704588593
55 MUSIC CONCOURSE DR,California Academy of Sciences,MUSIC CONCOURSE / NANCY PELOSI DR,44,88,4.571592587
444 STOCKTON ST,Sutter - Stockton Garage,STOCKTON,32,64,4.609570865
2295 HARRISON ST,Mission Cliffs,HARRISON,8,54,4.452514185
1625 OWENS ST,UCSF Mission Bay / Owens St Garage,OWENS ST,26,52,4.700387808
250 CLAY ST,Golden Gateway Garage,CLAY,25,50,4.710562401
600 16TH ST,UCSF Mission Bay / Genentech Hall,CAMPUS LANE,48,48,4.688725943
1610 GEARY BLVD,Japan Center Garage,GEARY,22,44,4.553423571
2501 23RD ST,San Francisco General Hospital,23RD ST,20,40,4.484612914
24 GROVE ST,SF Main Library,GROVE,19,38,4.607957775
100 GROVE ST,Civic Center Plaza,GROVE,17,34,4.605507171
833 MISSION ST,Fifth & Mission Garage,MISSION,16,32,4.635559285
2420 SUTTER ST,UCSF Mount Zion,SUTTER,15,30,4.609409956
333 POST ST,Union Square,POST,14,28,4.623099102
433 KEARNY ST,St. Mary's Square Garage,KEARNY,14,28,4.603835957
733 KEARNY ST,Portsmouth Garage,KEARNY,13,26,4.627644007
600 16TH ST,UCSF Mission Bay / Genentech Hall,CAMPUS LANE,5,25,4.688725943
1 ZOO RD,San Francisco Zoo,ZOO,12,24,4.556587838
5800 03RD ST,5800 Third Street,03RD ST,12,24,4.062732754
450 RHODE ISLAND ST,Whole Foods,Rhode Island,12,24,4.556039762
833 MISSION ST,Fifth & Mission Garage,MISSION,12,24,4.635559285
255 03RD ST,Moscone Garage,03RD ST,12,24,4.635840989
123 OFARRELL ST,Ellis - O'Farrell Garage,O'FARRELL,11,22,4.626689612
2295 HARRISON ST,Mission Cliffs,HARRISON,5,21,4.452514185
1675 OWENS ST,UCSF Mission Bay / William J. Rutter Community Center,OWENS ST,20,20,4.70092923
110 BARTLETT ST,CCSF Mission,22ND ST / BARTLETT,10,20,4.355545399
201 LARKIN ST,Civic Center Plaza,LARKIN,10,20,4.605507171
50 UNITED NATIONS PLZ,UN Plaza,MCALLISTER,10,20,4.619533659
450 CHURCH ST,Everett Middle School,CHURCH,10,20,4.441444305
735 VALLEJO ST,North Beach Garage,VALLEJO,10,20,4.664986244
2700 16TH ST,Dear Mom,HARRISON,9,18,4.538070836
3255 21ST ST,Mission Bartlett Garage,BARTLETT / MISSION,9,18,4.376304508
1543 MISSION ST,Urban Flow Yoga Studio,MISSION,9,18,4.534267173
None,Caltrain,22ND ST,9,18,4.469224975
777 VALENCIA ST,multiple,VALENCIA,9,18,4.434560456
1745 FOLSOM ST,Rainbow Grocery,FOLSOM,8,16,4.526562195
1501 OFARRELL ST,Raphael Weill Child Development Center,ELLIS,8,16,4.537953739
199 VALENCIA ST,Zeitgeist,Duboce,8,16,4.515489173
123 OFARRELL ST,Ellis - O'Farrell Garage,O'FARRELL,8,16,4.626689612
444 STOCKTON ST,Sutter - Stockton Garage,STOCKTON,8,16,4.609570865
250 CLAY ST,Golden Gateway Garage,CLAY,8,16,4.710562401
451 BERRY ST,Mission Bay Parks Maintenance Facility,BERRY,2,16,4.680195445
400 MCALLISTER ST,Superior Court House,MCALLISTER,7,14,4.604845625
1801 GREEN ST,Golden Gate Valley Branch Library,GREEN,7,14,4.659112748
3692 18TH ST,Bi-Rite Creamery,18TH ST,7,14,4.430439351
1225 FOLSOM ST,Driftwood,FOLSOM,7,14,4.59080548
1900 FOLSOM ST,Truck,FOLSOM,7,14,4.541069526
1 EMBARCADERO CENTER,1 Embarcadero Center,CLAY,7,14,4.682685272
1 SOUTH VAN NESS AVE,Bank of America / SFMTA Headquarters,11TH ST,7,14,4.552316137
2 EMBARCADERO CENTER,2 Embarcadero Center,CLAY,7,14,4.704672709
3 EMBARCADERO CENTER,3 Embarcadero Center,CLAY,7,14,4.733984524
4 EMBARCADERO CENTER,4 Embarcadero Center,CLAY,7,14,4.727019499
546 VALENCIA ST,Puero Alegre restaurant,VALENCIA,7,14,4.478776121
None,UK,CHANNEL,12,12,4.68879191
5600 03RD ST,Armstrong Senior/Place Housing,BANCROFT,6,12,4.068170036
985 VALENCIA ST,Dosa,VALENCIA,6,12,4.387420499
1099 VALENCIA ST,Boogaloos,VALENCIA,6,12,4.361220854
1233 HOWARD ST,Mike's Bikes,HOWARD,6,12,4.594145746
155 SOUTH PARK,The Butler & The Chef,SOUTH PARK AVE,6,12,4.692619666
