1625 OWENS ST,UCSF Mission Bay / Owens St Garage,0.01965924
600 16TH ST,UCSF Mission Bay / Genentech Hall,0.01965924
1675 OWENS ST,UCSF Mission Bay / William J. Rutter Community Center,0.01965924
1576 03RD ST,UCSF,0.03931848
1630 03RD ST,UCSF Mission Bay / 3rd St Garage,0.03931848
550 GENE FRIEND WAY,UCSF Mission Bay / South Street Retail & Bench Area (West End),0.085190039
550 GENE FRIEND WAY,UCSF Mission Bay / South Street Retail & Bench Area (East End),0.085190039
1450 03RD ST,UCSF Mission Bay / Helen Diller Cancer Center Courtyard,0.104849279
1490 03RD ST,UCSF,0.104849279
1650 03RD ST,Laundry Locker Cleaners,0.150720839
3151 ORTEGA ST,A.P. Giannini MS,0.183486239
None,Douglass Playground,0.190039318
5 LENOX WAY,West Portal Elementary School / GLO (Growth and Learning Opportunities),0.196592398
2833 VICENTE ST,"Urban Farmer Store, The",0.288335518
None,UK,0.307994758
51 HAVELOCK ST,Balboa Park Swimming Pool,0.393184797
1500 OWENS ST,UCSF Mission Bay / Orthopedic Institute,0.399737877
451 BERRY ST,Mission Bay Parks Maintenance Facility,0.452162516
300 CHANNEL ST,UK,0.543905636
600 VICENTE ST,St. Cecila's School,0.557011796
3901 NORIEGA ST,The Pizza Place,0.583224115
433 BERRY ST,UK,0.589777195
4900 CALIFORNIA ST,San Francisco Free Clinic,0.655307995
335 BERRY ST,UK,0.681520315
255 BERRY ST,UK,0.733944954
741 DIAMOND ST,Academy of Art University,0.747051114
None,Great Hwy & Judah St,0.786369594
4001 JUDAH ST,Feel Real Coffee House,0.786369594
4001 JUDAH ST,Outerlands Cafe,0.786369594
354 LAGUNA HONDA BLVD,Muni Laguna Honda Station,0.792922674
851 38TH AVE,Cabrillo Playground,0.806028834
2520 JUDAH ST,American Gymnastics & Raise the Bar Fitness,0.865006553
1290 05TH AVE,St. John of God Church.,0.878112713
3930 JUDAH ST,Other Avenues Food Co-op,0.878112713
5800 03RD ST,5800 Third Street,0.878112713
1315 16TH AVE,Urban Fauna Studio (CLOSED),0.891218873
428 BERRY ST,UK,0.904325033
420 BERRY ST,UK,0.904325033
936 INNES AVE,Surfside Liquors / RFJ Inc (Meiswinke Company),0.969855832
4541 IRVING ST,3 Fish Studios,0.976408912
3639 TARAVAL ST,Riptide Bar,1.015727392
25 POINT LOBOS AVE,Walgreens,1.035386632
1201 NOE ST,Chinese Medicine Works,1.035386632
